regionID,region,Provincia,Distrito,Comuna,Lista,NºenVoto,Pacto,SubPacto,Partido,votosComuna
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,MACHALI,S,37,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,373
5,DE VALPARAISO,PETORCA,6,LA LIGUA,H,20,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,203
6,DEL LIBERTADOR BDO. O'HIGGINS,CARDENAL CARO,16,NAVIDAD,B,8,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,243
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,REQUINOA,S,28,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,1302
13,METROPOLITANA DE SANTIAGO,SANTIAGO,13,LO ESPEJO,O,40,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,183
10,DE LOS LAGOS,LLANQUIHUE,26,COCHAMO,B,4,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,INDEPENDIENTE,61
14,DE LOS RIOS,VALDIVIA,24,VALDIVIA,J,32,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,665
10,DE LOS LAGOS,LLANQUIHUE,26,CALBUCO,I,33,PACTO CHILE QUIERE AMPLITUD,,INDEPENDIENTE,258
10,DE LOS LAGOS,LLANQUIHUE,25,LLANQUIHUE,H,22,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,90
13,METROPOLITANA DE SANTIAGO,SANTIAGO,10,PROVIDENCIA,S,70,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,153
4,DE COQUIMBO,ELQUI,5,COQUIMBO,H,22,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,740
9,DE LA ARAUCANIA,MALLECO,22,RENAICO,O,34,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,31
5,DE VALPARAISO,PETORCA,6,LA LIGUA,G,13,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,134
14,DE LOS RIOS,DEL RANCO,24,LA UNION,G,14,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,58
9,DE LA ARAUCANIA,CAUTIN,22,MELIPEUCO,O,30,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,14
13,METROPOLITANA DE SANTIAGO,SANTIAGO,8,PUDAHUEL,B,7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,1356
5,DE VALPARAISO,SAN FELIPE,6,CATEMU,L,22,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,27
13,METROPOLITANA DE SANTIAGO,SANTIAGO,13,SAN MIGUEL,R,52,PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,83
10,DE LOS LAGOS,LLANQUIHUE,26,MAULLIN,L,18,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,253
10,DE LOS LAGOS,LLANQUIHUE,26,PUERTO MONTT,H,36,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,449
8,DEL BIOBIO,BIOBIO,21,MULCHEN,B,4,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,403
